
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

= Überblick über die ÖPNV-Linien des "Verkehrsverbund Tirol"

- Verweis auf die Datei mit den [[Austria/Nahverkehr_Tirol/Analyse/VVT-Linien|VVT-Linien]] im Wiki.
- Verweis auf mehr [/de/config.php?network=AT-VVT Informationen] bei PTNA.


== Züge

FV;train;Sonderfahrplan für den Fernverkehr Tirol;Landeck-Zams;Kufstein/Hochfilzen
1;bus;Imst: Gunglgrün - Terminal Post - FMZ Einkaufszentrum - Imsterberg Bahnhof;;;Busreisen Auderer
2;bus;Imst: Rastbühel - Oberstadt - Auf Arzill - Terminal Post - Am Rofen - FMZ Einkaufszentrum;;;Busreisen Auderer
3;bus;Imst: Brennbichl - Terminal Post - Hochimst (nur im Sommer/only in summer);;;Busreisen Auderer
4;bus;Imst: Oberstadt - Terminal Post - Imst-Pitztal Bahnhof;;;Busreisen Auderer
5;bus;Imst: Terminal Post - FMZ Einkaufszentrum - Imsterberg;;;Busreisen Auderer
6;bus;Imst: Imst Terminal Post - Auf Arzill - Am Rofen - Imst-Pitztal Bahnhof;;;Busreisen Auderer



=== Stadtverkehr Innsbruck

A;bus;Rum Sanatorium - Landesmuseum - Sadrach/Allerheiligenhöfe;;;Innsbrucker Verkehrsbetriebe
B;bus;Hauptbahnhof - Kletterzentrum;;;Innsbrucker Verkehrsbetriebe
C;bus;Luigenstraße - Terminal Marktplatz- Sieglanger;;;Innsbrucker Verkehrsbetriebe
F;bus;Neu-Rum Kaplanstraße - Hauptbahnhof - Flughafen;;;Innsbrucker Verkehrsbetriebe
H;bus;Terminal Marktplatz - Allerheiligenhöfe;;;Innsbrucker Verkehrsbetriebe
HBB;funicular;Station Hungerburg - Station Congress;;;Innsbrucker Verkehrsbetriebe
J;bus;Igls Patscherkofel - Marktplatz - Nordkette;;;Innsbrucker Verkehrsbetriebe
K;bus;Kranebitten - Technik - Allerheiligen - Terminal Marktplatz;;;Innsbrucker Verkehrsbetriebe
M;bus;Stadion - Hauptbahnhof - Mentlbergsiedlung;;;Innsbrucker Verkehrsbetriebe
R;bus;DEZ/EKZ - Hauptbahnhof - Rehgasse;;;Innsbrucker Verkehrsbetriebe
T;bus;Neu-Rum Kaplanstraße/Mühlauer Brücke - Völs EKZ Cyta;;;Innsbrucker Verkehrsbetriebe
W;bus;Marktplatz - Alpenzoo;;;Innsbrucker Verkehrsbetriebe
1;tram;Bergisel - Mühlauer Brücke;;;Innsbrucker Verkehrsbetriebe
2;tram;J. Kerschbaumer-Straße - Peerhofsiedlung/Technik West;;;Innsbrucker Verkehrsbetriebe
2A;bus;Neu Rum Kirche - Exlgasse;;;Innsbrucker Verkehrsbetriebe
3;tram;Amras - Anichstraße/Rathausgalerien;;;Innsbrucker Verkehrsbetriebe
5;tram;Rum Bahnhof - Hauptbahnhof - Technik West;;;Innsbrucker Verkehrsbetriebe
5E;bus;Lohbachsiedlung Ost - Jugendherberge;;;Innsbrucker Verkehrsbetriebe
6;tram;Igls Bahnhof - Bergisel;;;Innsbrucker Verkehrsbetriebe
STB;tram;Stubaitalbahn:Innsbruck - Natters - Mutters - Telfes i. St. - Fulpmes;;;Innsbrucker Verkehrsbetriebe und Stubaitalbahn


=== Stadtverkehr Kitzbühel

4002;bus;Kitzbühel: Hahnenkamm - Vorderstadt - Badhaussiedlung - Bichlalm;;;Stadtwerke Kitzbühel
4008;bus;Kitzbühel: Siedlung Frieden - Im Gries - Staudach;;;Stadtwerke Kitzbühel



=== Stadtverkehr Kufstein

1;bus;Kufstein: Endach - Zentrum - Kaisertal;;;Stadtwerke Kufstein
2;bus;Kufstein: Kaisertal - Zentrum - Endach;;;Stadtwerke Kufstein
3;bus;Kufstein: Feldgasse - Zentrum - Zell - Feldgasse;;;Stadtwerke Kufstein
4;bus;Kufstein: Kaisertal - Zentrum - Endach - Zell - Feldgasse und zurück;;;Stadtwerke Kufstein



=== Stadtverkehr Landeck

1;bus;Landeck - Zams
2;bus;Landeck: Öd - Zentrum
3;bus;Landeck: Zentrum - Perjen
4;bus;Landeck - Tobadill
5;bus;Landeck - Pians - Strengen
6;bus;Landeck: Zentrum - Bruggen
12;bus;Landeck: Öd - Perjen



=== Stadtverkehr Lienz und Umgebung

1;bus;Gaimberg - Lienz Bahnhof - Tristach
2;bus;Amlach - Lienz Bahnhof - Gaimberg
3;bus;Lienz Falkensteinerweg - Lienz Bahnhof - Thurn



=== Stadtverkehr Schwaz

1;bus;Bahnhof - Terminal Wopfnerstraße - Silberbergwerk;;;Regio Schwaz Buslinien
2;bus;Silberbergwerk - Terminal Wopfnerstraße - Wengerhof;;;Regio Schwaz Buslinien
3;bus;Schwaz: Bahnhof - Terminal Wopfnerstr. - Pirchanger;;;Regio Schwaz Buslinien
4;bus;Schwaz - Vomp - Vomperbach - Terfens;;;Regio Schwaz Buslinien
5;bus;Schwaz - Gallzein;;;Regio Schwaz Buslinien
6;bus;Schwaz - Zintberg;;;Regio Schwaz Buslinien
7;bus;Schwaz - Arzberg;;;Regio Schwaz Buslinien
8;bus;Schwaz - Pill - Pillberg;;;Regio Schwaz Buslinien
9;bus;Schwaz: Bahnhof - Dorf - Schulzentrum Ost;;;Regio Schwaz Buslinien
31;bus;Schwaz - Stans Gewerbegebiet - Schwaz;;;Regio Schwaz Buslinien
41;bus;Schwaz - Vomp - Fiecht - Vomp - Schwaz;;;Regio Schwaz Buslinien



=== Regiobus Ötztal

44;bus;Skibus Längenfeld (nur im Winter/only in winter);;;Ötztaler Verkehrsgesellschaft
50;bus;Skibus: Sölden -Obergurgl;;;Ötztaler Verkehrsgesellschaft
60;bus;Skibus Obergurgl (nur im Winter/only in winter);;;Ötztaler Verkehrsgesellschaft
63;bus;Ortsverkehr Obergurgl;;;Ötztaler Verkehrsgesellschaft
4194;bus;Imst - Ötztal Bf - Sölden - Zwieselstein - Obergurgl - Timmelsjoch (Timmelsjoch nur im Sommer/only in summer);;;Ötztaler Verkehrsgesellschaft
8400;bus;Sölden - Zwieselstein - Vent;;;Ötztaler Verkehrsgesellschaft



=== Nightliner / Nachtbus Innsbruck und Umgebung

N1;bus;Innsbruck: Grabenweg - Hauptbahnhof - Sieglanger
N2;bus;Innsbruck: Olympisches Dorf - Hauptbahnhof - Technik
N3;bus;Innsbruck: Jugendherberge - Hauptbahnhof - Rehgasse
N7;bus;Innsbruck: Igls Alte Talstation - Nordkette
