
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


#
# TODO: Zuordnen der mehrfach vorkommenden 'ref'-Werte zu den jeweiligen regionalen Linien
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Vorarlberg (VVV)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Vorarlberg/Analyse/VVV-Linien|VVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVV Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
==S-Bahn
S1;train;Lindau - Bregenz - Dornbirn - Hohenems - Götzis - Rankweil - Feldkirch - Bludenz;;;;1-MS1-V-j26-1
551;bus;"Satteins-Düns-Schnifis-Thüringerberg";;;Landbus Walgau;AT-VVV;at:vvv:551:;
#556;bus;Satteins - Düns - Schnifis - Thüringerberg;;;Landbus Walgau;AT-VVV;at:vvv:556:;
560;bus;Bludenz - Ludesch - Thüringen - Bludesch - Nenzing - Schlins;;;Landbus Walgau;AT-VVV;at:vvv:560:;
561;bus;"Bludenz-Ludesch-Thüringen-Bludesch-Nenzing";;;Landbus Walgau;AT-VVV;at:vvv:561:;
565;bus;Bludenz - Thüringen - Nenzing und retour;;;Landbus Walgau;AT-VVV;at:vvv:565:;
570;bus;Thüringen - Sonntag - Fontanella - Damüls;;;Landbus Großes Walsertal;AT-VVV;at:vvv:570:;
571;bus;Rufbus Sonntag - Buchboden;;;Landbus Großes Walsertal;AT-VVV;at:vvv:571:;
575;bus;Thüringen - Raggal - Marul - Garsella;;;Landbus Großes Walsertal;AT-VVV;at:vvv:575:;
576;bus;Wanderbus Marul - Laguzalpe;;;Landbus Walgau
580;bus;Bludenz - Bürs - Bürserberg - Brand - (Lünerseebahn);;;Grass Bus GmbH;AT-VVV;at:vvv:580:;
581;bus;Bludenz - Bürserberg - Tschengla;;;Landbus Vorarlberg;AT-VVV;at:vvv:581:;
-
#
==Ortsbus Schruns-Tschagguns
601;bus;Zamang Bahn - Schruns - Latschau Golmerbahn;;;Ortsbus Schruns/Tschagguns;AT-VVV;at:vvv:601:;
602;bus;Schruns Bahnhof - Aktivpark - Zelfen - Zamang - Bahnhof;;;Ortsbus Schruns/Tschagguns;AT-VVV;at:vvv:602:;
